id,account_id,amount,transaction_requested_at,transaction_completed_at,status
937196074244976512,438980267812145600,1396.64,1579074367,None,failed
242838712073085184,253931865368420288,1684.49,1595144491,1595144500,completed
135519494068348464,1410463889223333888,357.91,1580605502,1580605515,completed
2796000684688832000,967032139408421376,1933.77,1580938498,1580938517,completed
2362495920543102464,479529564765572288,348.9,1578923002,1578923007,completed
2705755833670912000,479529564765572288,1049.12,1581666442,1581666456,completed
771988475313287552,3288792252319690240,1083.01,1578634485,None,failed
2138796897301563904,3159540850757342720,426.73,1608027376,1608027391,completed
2165726395716400128,3392112824756089344,1228.4,1600857823,1600857842,completed
3157022035881823232,3392112824756089344,651.62,1595695521,1595695525,completed
2156215721605883136,3286107959831829504,1092.52,1602883607,1602883614,completed
2791744123420062720,2173517564649275392,103.87,1598215207,1598215215,completed
312505109990789568,507987780945996736,489.15,1602878510,1602878521,completed
3183040911302793728,414591092625732800,639.35,1605614316,1605614334,completed
3156467446181015040,3011375634010832896,301.2,1605090792,1605090796,completed
3337042265006503936,1836359271124509184,1733.97,1602713674,1602713675,completed
1946187818460410624,691946868448769920,1786.11,1601818522,1601818525,completed
2611504844870298624,1891455380300905472,625.12,1594857666,1594857676,completed
970571821541967872,994985248422406400,443.98,1583188827,1583188837,completed
595707685362299264,994985248422406400,138.58,1608374804,1608374820,completed
751801592705180160,2307049183197986816,959.2,1596093194,1596093213,completed
2139121560405128960,2307049183197986816,1750.49,1595318510,1595318510,completed
2821998161003620864,1208452672197779968,1673.36,1594677878,1594677886,completed
3326180358478678528,1168635816146226176,1094.8,1596415867,1596415876,completed
652881005634875392,2249498282617143808,371.82,1578014734,1578014742,completed
1944272627847346432,3385662994386571776,1363.1,1582855250,1582855267,completed
3016981555942668288,3385662994386571776,471.89,1577928253,None,failed
725815111890699008,3385662994386571776,637.29,1604368637,1604368645,completed
2364959497227026944,587213839634695680,172.24,1605579723,1605579724,completed
1214344822792687360,995621806733783296,824.87,1597185694,1597185710,completed
2330781426092305920,1153472375140304896,1926.11,1594388087,1594388089,completed
1314773442166082304,212708943708703264,610.11,1595865326,1595865332,completed
2092273284298977024,2253873197740771584,1010.38,1596155338,1596155341,completed
1603931383752686848,1743328249855732992,1391.99,1597385298,None,failed
2616389592813868544,2217479417114415360,639.76,1594784315,1594784327,completed
1663890135761784064,3268938936635121664,1751.04,1601305082,1601305099,completed
2850530359133393920,1576054812906108928,30.58,1585066308,1585066317,completed
1504066903413824512,1576054812906108928,872.78,1584942059,1584942066,completed
975082248096665344,3179749904068270080,620.84,1595809289,1595809292,completed
1834908721553132288,434787599364796608,192.85,1608984446,1608984447,completed
1621756181722229248,2417936534473050112,442.59,1594780457,1594780472,completed
278603201881474272,2417936534473050112,65.61,1598445402,1598445404,completed
1317018392531201024,2680593960694184960,706.03,1606604123,1606604136,completed
1899976993533829376,2680593960694184960,1681.5,1604841030,1604841036,completed
764124264165237632,1500188662098280960,821.87,1595126160,1595126173,completed
1718413052587012096,2120040664426333696,1352.93,1584543635,1584543638,completed
134776665594269856,2120040664426333696,1648.43,1590154710,1590154721,completed
2239090683281396480,2120040664426333696,1915.64,1579627565,1579627568,completed
1264921457242032128,3378625499081244672,541.26,1605899589,1605899592,completed
586106856292503680,1561164223080358656,1626.31,1593557157,None,failed
2343730346013289984,1561164223080358656,1726.03,1593807146,None,failed
2862788937965462528,2983792313046721536,218.69,1600480736,1600480742,completed
2487584396549032960,2983792313046721536,1214.42,1583601928,1583601945,completed
1453372904021784832,2100495529286620672,887.88,1604646300,1604646316,completed
442924877814717248,1269203370773489920,213.59,1578903810,1578903823,completed
195325731277200192,1269203370773489920,282.24,1598315047,1598315066,completed
2907428460536904704,1728217725037335296,760.3,1585893702,1585893713,completed
2424091867018702336,1100973411387395968,389.21,1589261859,1589261859,completed
2121291229333637120,2300937172497233408,1995.91,1583821662,None,failed
74942111600238720,2300937172497233408,1298.81,1590927744,1590927756,completed
2015803568340849408,464648525663678528,320.67,1601938951,1601938960,completed
779926202321449088,464648525663678528,1789.04,1583175278,1583175283,completed
288478538236805312,2369144338064188928,253.59,1585145605,1585145608,completed
2463889263977302016,1818450619192449280,700.4,1604156646,1604156658,completed
861560078942440576,423836350719810944,1149.74,1606392592,1606392605,completed
2823280825619992064,1261014087679532032,585.97,1591635936,1591635952,completed
865114891556501248,2034349594210171648,1905.87,1598158698,None,failed
2515291388688734720,2034349594210171648,908.79,1581792121,1581792121,completed
3221030605796407808,2034349594210171648,323.36,1593168551,1593168561,completed
1759543584813683200,2317730837342574592,687.28,1605100416,1605100430,completed
1583572795407362816,2317730837342574592,1302.45,1590631495,1590631495,completed
983277667733988096,2317730837342574592,832.94,1583995853,1583995855,completed
698290802073378944,2317730837342574592,499.91,1594875759,1594875777,completed
2849434057090915840,2317730837342574592,1357.11,1586282446,1586282463,completed
1826839959057877248,1610997083436013824,1148.82,1584142373,1584142391,completed
1361911535730830336,1610997083436013824,577.68,1584461537,1584461552,completed
1457830639546508032,1431430621285768448,51.29,1591162573,1591162592,completed
3183903971692817920,1575450670747811328,73.25,1592122004,1592122010,completed
746126645293258368,585558974073297920,354.58,1607513388,1607513405,completed
303702852272868032,1773137547842524672,563.31,1601375027,1601375027,completed
1390761123950791424,1773137547842524672,1349.87,1596764004,1596764019,completed
2498693517649040384,655475131890817024,538.84,1580433762,1580433777,completed
2583650818784292864,655475131890817024,991.96,1604229050,None,failed
1643903144665906176,100642855136823056,1290.73,1588819427,1588819434,completed
2718523890769448448,100642855136823056,290.35,1596877552,1596877553,completed
1706887438927578624,1565903926780073728,175.36,1603235629,1603235642,completed
2435487831690717696,2001021613139299072,1001.8,1605236921,1605236930,completed
2610772352426489344,1242835248533352192,766.1,1593403573,1593403591,completed
3178729648070520320,1154395376245267200,531.5,1583939423,1583939434,completed
68351042886801448,1327634959155804928,1160.15,1605713428,None,failed
3333292090410721280,662889131085614592,798.89,1583502074,1583502093,completed
2665640444401251840,662889131085614592,58.16,1583133704,1583133710,completed
1582426561135897856,273757119889734016,600.96,1604560447,1604560466,completed
160021992835472832,273757119889734016,1170.45,1586651286,1586651286,completed
1863070672383086848,1411654469209523200,784.45,1583414901,1583414906,completed
1354527264446185728,565707937922499008,1575.34,1583026383,1583026393,completed
470678976597028864,1721903123063554816,169.73,1579374485,1579374501,completed
674744255384482304,1721903123063554816,53.09,1607194664,1607194676,completed
2502684188900077056,1721903123063554816,419.19,1596340370,1596340371,completed
1251225373824345344,252304580800875488,822.39,1580559866,1580559875,completed
2936457819856651264,388141757605628992,712.42,1589219365,1589219371,completed
2285145039158067200,388141757605628992,377.92,1605897568,1605897580,completed
1699683138697393408,2448743790834618368,1116.0,1595073436,1595073455,completed
3226609966870896640,2063889758986716672,1359.42,1581498842,1581498846,completed
